DateTime,Name,Country,Volatility,Actual,Previous,Consensus
01/20/2016 16:30:00,4-Week Bill Auction,United States,1,0.250,0.220,
01/21/2016 00:00:00,World Economic Forum - Davos,Switzerland,2,,,
01/21/2016 12:45:00,ECB deposit rate decision,European Monetary Union,2,-0.300,-0.300,-0.300
01/21/2016 13:30:00,Initial Jobless Claims,United States,2,293.000,284.000,278.000
01/21/2016 13:30:00,Continuing Jobless Claims,United States,1,2.208,2.263,2.248
01/21/2016 13:30:00,ECB Monetary policy statement and press conference,European Monetary Union,3,,,
01/22/2016 00:00:00,World Economic Forum - Davos,Switzerland,2,,,
01/22/2016 07:45:00,ECB President Draghi's Speech,European Monetary Union,3,,,
01/22/2016 12:00:00,MPC Member Cunliffe Speech,United Kingdom,1,,,
01/23/2016 00:00:00,World Economic Forum - Davos,Switzerland,2,,,
01/25/2016 11:00:00,German Buba Monthly Report,Germany,1,,,
01/25/2016 16:30:00,3-Month Bill Auction,United States,1,0.305,0.255,
01/25/2016 16:30:00,6-Month Bill Auction,United States,1,0.415,0.370,
01/25/2016 18:00:00,ECB President Draghi's Speech,European Monetary Union,3,,,
01/26/2016 10:45:00,BOE's Governor Carney speech,United Kingdom,3,,,
01/26/2016 16:30:00,4-Week Bill Auction,United States,1,0.295,0.250,
01/26/2016 18:00:00,2-Year Note Auction,United States,1,0.860,1.056,
01/27/2016 12:02:16,30-y Bond Auction,Germany,1,1.180,1.490,
01/27/2016 18:00:00,5-Year Note Auction,United States,1,1.496,1.785,
01/27/2016 19:00:00,Fed's Monetary Policy Statement,United States,3,,,
01/28/2016 10:33:46,10-y Bond Auction,Italy,1,1.440,1.590,
01/28/2016 10:33:52,5-y Bond Auction,Italy,1,0.420,0.570,
01/28/2016 13:30:00,Continuing Jobless Claims,United States,1,2.268,2.208,2.217
01/28/2016 13:30:00,Initial Jobless Claims,United States,2,278.000,293.000,282.000
01/28/2016 18:00:00,7-Year Note Auction,United States,1,1.759,2.161,
01/29/2016 13:30:00,Employment cost index,United States,1,0.600,0.600,0.600
01/29/2016 20:30:00,FOMC Member Williams speech,United States,1,,,
02/01/2016 16:00:00,ECB President Draghi's Speech,European Monetary Union,3,,,
02/01/2016 16:30:00,3-Month Bill Auction,United States,1,0.350,0.305,
02/01/2016 16:30:00,6-Month Bill Auction,United States,1,0.465,0.415,
02/01/2016 18:00:00,Fed's Stanley Fischer speech,United States,2,,,
02/01/2016 19:00:00,Loan Officer Survey,United States,1,,,
02/02/2016 08:55:00,Unemployment Rate s.a.,Germany,2,6.200,6.300,6.300
02/02/2016 08:55:00,Unemployment Change,Germany,2,-20.000,-14.000,-7.000
02/02/2016 09:00:00,Unemployment,Italy,2,11.400,11.300,11.300
02/02/2016 10:00:00,Unemployment Rate,European Monetary Union,2,10.400,10.500,10.500
02/02/2016 14:00:00,GDT Price Index,New Zealand,1,-7.400,-1.400,
02/02/2016 16:30:00,52-Week Bill auction,United States,1,0.530,0.670,
02/02/2016 16:30:00,4-Week Bill Auction,United States,1,0.270,0.295,
02/02/2016 18:00:00,Fed's George Speech,United States,1,,,
02/02/2016 21:45:00,Participation Rate,New Zealand,2,68.400,68.600,68.900
02/02/2016 21:45:00,Unemployment Rate,New Zealand,2,5.300,6.000,6.100
02/02/2016 21:45:00,Employment Change,New Zealand,2,0.900,-0.400,0.800
02/02/2016 21:45:00,Labour cost index (YoY),New Zealand,1,1.600,1.700,1.600
02/02/2016 21:45:00,Labour cost index (QoQ),New Zealand,1,0.400,0.400,0.500
02/02/2016 23:45:00,RBNZ Governor Wheeler Speech,New Zealand,2,,,
02/03/2016 08:00:00,Non-monetary policy's ECB meeting,European Monetary Union,3,,,
02/03/2016 13:15:00,ADP Employment Change,United States,2,205.000,257.000,195.000
